sensor_id,road_name,direction,lat,lng,period,flow,speed,road_id,offset,collected_at
13077,SS662 Di Savigliano,positive,44.64808,7.59853,5,144,68.0,1097,4960,2026-09-15 22:25:33.688586
13078,SS662 Di Savigliano,negative,44.64808,7.59853,5,96,83.0,1097,8200,2026-09-15 22:25:33.688586
5034,SS29 Del Colle Di Cadibona,positive,44.67126,8.04099,5,132,49.0,344,4200,2026-09-15 22:25:33.688586
5035,SS29 Del Colle Di Cadibona,negative,44.67126,8.04099,5,168,48.0,344,2180,2026-09-15 22:25:33.688586
13076,SS662 Di Savigliano,positive,44.65592,7.71134,5,180,81.2,1097,2260,2026-09-15 22:25:33.688586
13077,SS662 Di Savigliano,negative,44.65592,7.71134,5,24,92.0,1097,5150,2026-09-15 22:25:33.688586
4832,SS22 Di Val Macra,positive,44.39493,7.53006,5,132,60.68,334,740,2026-09-15 22:25:33.688586
4833,SS22 Di Val Macra,negative,44.39493,7.53006,5,252,60.18,334,9050,2026-09-15 22:25:33.688586
4963,SS28 Del Colle Di Nava,positive,44.57956,7.67659,5,108,82.0,341,1100,2026-09-15 22:25:33.688586
4964,SS28 Del Colle Di Nava,negative,44.57956,7.67659,5,72,75.0,341,4000,2026-09-15 22:25:33.688586
27774,SP4(NO) Ovest Ticino,positive,45.44373,8.73117,5,252,66.0,27771,2120,2026-09-15 22:25:33.688586
27775,SP4(NO) Ovest Ticino,negative,45.44373,8.73117,5,48,71.0,27771,2560,2026-09-15 22:25:33.688586
3845,SS11 Padana Superiore,positive,45.40573,8.55355,5,24,83.0,297,1720,2026-09-15 22:25:33.688586
3846,SS11 Padana Superiore,negative,45.40573,8.55355,5,264,72.04,297,4780,2026-09-15 22:25:33.688586
13703,SS11 Padana Superiore,positive,45.44016,8.67443,5,396,65.0,297,300,2026-09-15 22:25:33.688586
3851,SS11 Padana Superiore,negative,45.44016,8.67443,5,624,64.79,297,3280,2026-09-15 22:25:33.688586
12070,SS527 Bustese,positive,45.59171,8.66951,5,120,68.0,952,8700,2026-09-15 22:25:33.688586
12071,SS527 Bustese,negative,45.59171,8.66951,5,120,62.0,952,1160,2026-09-15 22:25:33.688586
9752,SS299 Di Alagna,positive,45.66253,8.36815,5,72,83.0,707,4400,2026-09-15 22:25:33.688586
9753,SS299 Di Alagna,negative,45.66253,8.36815,5,132,85.0,707,3970,2026-09-15 22:25:33.688586
7934,SS142 Biellese,positive,45.73711,8.50806,5,0,0.0,525,5550,2026-09-15 22:25:33.688586
7935,SS142 Biellese,negative,45.73711,8.50806,5,0,0.0,525,1720,2026-09-15 22:25:33.688586
36066,SP8(TO) di Druento,positive,45.12433,7.59182,5,264,66.0,36065,2980,2026-09-15 22:25:33.688586
36067,SP8(TO) di Druento,negative,45.12433,7.59182,5,372,61.0,36065,420,2026-09-15 22:25:33.688586
35478,SP1(TO) delle Valli di Lanzo,positive,45.1878,7.56886,5,216,75.0,35474,2600,2026-09-15 22:25:33.688586
35479,SP1(TO) delle Valli di Lanzo,negative,45.1878,7.56886,5,168,72.0,35474,970,2026-09-15 22:25:33.688586
35823,SP2(TO) Di Germagnano,positive,45.20854,7.61712,5,552,68.0,35815,2970,2026-09-15 22:25:33.688586
35824,SP2(TO) Di Germagnano,negative,45.21232,7.614418,5,312,76.0,35815,1060,2026-09-15 22:25:33.688586
35518,SP122(TO) di Chieri,positive,44.93797,7.76791,5,84,85.0,35516,3060,2026-09-15 22:25:33.688586
35519,SP122(TO) di Chieri,negative,44.93797,7.76791,5,72,85.0,35516,900,2026-09-15 22:25:33.688586
35559,SP13(TO) di Front,positive,45.25525,7.65615,5,120,65.0,35554,260,2026-09-15 22:25:33.688586
35560,SP13(TO) di Front,negative,45.25525,7.65615,5,144,65.0,35554,4070,2026-09-15 22:25:33.688586
11432,SS460 Di Ceresole,positive,45.24431,7.74296,5,180,75.0,887,810,2026-09-15 22:25:33.688586
11433,SS460 Di Ceresole,negative,45.24431,7.74296,5,132,69.0,887,2400,2026-09-15 22:25:33.688586
11436,SS460 Di Ceresole,positive,45.35709,7.69531,5,12,97.0,887,400,2026-09-15 22:25:33.688586
11437,SS460 Di Ceresole,negative,45.35709,7.69531,5,48,78.0,887,4230,2026-09-15 22:25:33.688586
12297,SS565 Di Castellamonte,positive,45.37674,7.73193,5,168,80.0,990,1170,2026-09-15 22:25:33.688586
12298,SS565 Di Castellamonte,negative,45.37674,7.73193,5,36,102.0,990,1430,2026-09-15 22:25:33.688586
8881,SS229 Del Lago D Orta,positive,45.9131,8.425,5,360,60.0,627,2300,2026-09-15 22:25:33.688586
8882,SS229 Del Lago D Orta,negative,45.9131,8.425,5,108,55.84,627,1800,2026-09-15 22:25:33.688586
5154,SS33 Racc Del Sempione,positive,45.93138,8.47971,5,168,58.0,352,250,2026-09-15 22:25:33.688586
5155,SS33 Racc Del Sempione,negative,45.93138,8.47971,5,96,51.0,352,1750,2026-09-15 22:25:33.688586
8890,SS230 Di Massazza,positive,45.37098,8.3762,5,12,73.0,628,700,2026-09-15 22:25:33.688586
8891,SS230 Di Massazza,negative,45.37098,8.3762,5,24,78.0,628,2300,2026-09-15 22:25:33.688586
12528,SS594 Destra Sesia,negative,45.44371,8.38372,5,36,94.0,1021,2270,2026-09-15 22:25:33.688586
12527,SS594 Destra Sesia,positive,45.44371,8.38372,5,0,0.0,1021,1600,2026-09-15 22:25:33.688586
5069,SS31 Del Monferrato,positive,45.27307,8.46357,5,156,80.0,347,5700,2026-09-15 22:25:33.688586
5070,SS31 Del Monferrato,negative,45.27307,8.46357,5,84,63.0,347,3920,2026-09-15 22:25:33.688586
3836,SS11 Padana Superiore,positive,45.33262,8.31339,5,36,90.0,297,6010,2026-09-15 22:25:33.688586
3837,SS11 Padana Superiore,negative,45.33262,8.31339,5,72,86.0,297,6000,2026-09-15 22:25:33.688586
11361,SS455 Di Pontestura,positive,45.23535,8.3324,5,48,82.0,882,850,2026-09-15 22:25:33.688586
11362,SS455 Di Pontestura,negative,45.23535,8.3324,5,60,94.0,882,3950,2026-09-15 22:25:33.688586
3724,SS10 Padana Inferiore,positive,44.90394,8.28771,5,84,62.0,296,3500,2026-09-15 22:25:33.688586
3725,SS10 Padana Inferiore,negative,44.90394,8.28771,5,60,70.5,296,3090,2026-09-15 22:25:33.688586
5032,SS29 Del Colle Di Cadibona,negative,44.72294,8.0091,5,168,54.0,344,590,2026-09-15 22:25:33.688586
5031,SS29 Del Colle Di Cadibona,positive,44.72294,8.0091,5,324,48.79,344,670,2026-09-15 22:25:33.688586
12473,SS589 Dei Laghi Di Avigliana,positive,44.53299,7.48417,5,336,65.73,1016,3750,2026-09-15 22:25:33.688586
12474,SS589 Dei Laghi Di Avigliana,negative,44.53299,7.48417,5,348,73.47,1016,2250,2026-09-15 22:25:33.688586
